id;weight;battery_charge;state;model_id
b1c6dab7-d7d6-48f6-a653-1e003e2c40c6;1566;31769;RETURNING;1
a89eb3f7-2a7f-482a-83ee-d95e3b4c84b4;21603;17102;DELIVERED;2
df0b3d54-4205-4201-9b1c-c272e6c6828a;1808;23701;LOADING;1
f639e40e-74cc-48b8-a9cf-d41113d10913;18144;25221;IDLE;2
41684c70-aaa7-45cc-8fc8-6e0ed77eb56f;10513;12582;DELIVERED;3
b9b22ed2-1cbf-4219-bd6e-1cfec7741447;16893;11701;LOADING;4
089ae1de-62e0-4dcf-b703-23da19bd0de5;32113;20653;LOADED;5
8f671b0c-1abe-4984-8a62-db43a474f5c4;18446;30281;LOADED;6
a774709b-530d-4dd7-af9e-0622e2b73b55;11543;15204;DELIVERED;7
26258318-c1c5-4dac-abb9-e3d3c9484a10;1151;31495;IDLE;8
